Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
Smoke Berkeley,"BBQ, Southern, American",Berkeley,Delivery & Takeout,Yes,1974 Shattuck Ave.,Berkeley,N/A,East Bay,Noon-8 p.m. Tuesday-Saturday,510-5488801,www.smokeberkeley.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sociale,Italian,Presidio Heights,Takeout,Yes,3665 Sacramento St.,San Francisco,N/A,San Francisco,4:30-7:30 p.m. Monday-Saturday,415-921-3200,www.sfsociale.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Soi4,Thai,Rockridge (Oak),Delivery & Takeout,No,5421 College Ave.,Oakland,N/A,East Bay,"11:30-2 p.m., 5-9:30 p.m. Monday-Friday, 5-9:30 p.m. Saturday and Sunday",510-655-0889,www.oakland.soifour.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sol Food,Puerto Rican,Mill Valley,Delivery & Takeout,No,401 Miller Ave.,Mill Valley,N/A,North Bay,11 a.m.-8 p.m. Sunday-Thursday; 11 a.m.-9 p.m. Friday and Saturday,415-380-1986,www.solfoodrestaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sol Food,Puerto Rican,San Rafael,Delivery & Takeout,No,903 Lincoln Ave.,San Rafael,N/A,North Bay,8 a.m.-9 p.m. daily,415-451-4765,www.solfoodrestaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Son & Garden,American,Tenderloin (S.F.),Delivery & Takeout,No,700 Polk St.,San Francisco,N/A,San Francisco,9 a.m.-8:30 p.m. daily,415-913-7404,www.sonandgarden.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Son's Addition,American,Mission (S.F.),Takeout,No,2990 24th St.,San Francisco,N/A,San Francisco,3-6 p.m. daily,415-368-5142,www.sonsaddition.com,"Reheatable meals, $15/person.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Sons & Daughters,Californian,Union Square (S.F.),Takeout,No,708 Bush St.,San Francisco,N/A,San Francisco,5-7 p.m. Wednesday-Saturday,415-994-7933,www.exploretock.com/sonsanddaughters/,"Weekly prix fixe menus, $50/person.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Sorelle Italian Bistro,Italian,Campbell,Takeout,No,915 S San Tomas Aquino,Campbell,N/A,South Bay,5-9 p.m. daily,408-374-1800,www.sorelleitalianbistro.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Southern Comfort,Cajun/Creole,Castro Valley,Takeout,No,3571 Castro Valley Blvd.,Castro Valley,N/A,East Bay,11 a.m.-9 p.m. daily,510-397-6705,www.southerncomfort.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spasso Ristorante & Wine Bar,Italian,San Carlos,Delivery & Takeout,No,769 Laurel St.,San Carlos,N/A,Peninsula,4:30-9 p.m. daily,650-592-5886,www.spassosc.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spice of America,Indian,SoMa (S.F.),Delivery & Takeout,No,1655 Market St.,San Francisco,N/A,San Francisco,5-9 p.m. daily,415-638-9992,www.spiceofamerica.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spices Fremont,Chinese,Fremont,Delivery & Takeout,No,1616 Washington Blvd.,Fremont,N/A,East Bay,"11:30 a.m.-2:30 p.m., 5-9:30 p.m. daily",510-270-8828,www.spicesfremont.com,20% discount for takeout orders over $60.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spicy Empire,Chinese,San Mateo,Takeout,No,105 West 25th Ave.,San Mateo,N/A,Peninsula,Lunch and dinner Thursday-Tuesday,650-522-9098,www.spicyempire.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spin A Yarn Steakhouse,American,Fremont,Delivery & Takeout,Yes,45915 Warm Springs Blvd.,Fremont,N/A,East Bay,11 a.m.-8 p.m. daily,510-656-9141,www.spinayarnsteakhouse.com/,Last call for orders at 7:30 p.m.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spinning Dough,Pizza,Oakland,Delivery & Takeout,No,2935 Market St.,Oakland,N/A,East Bay,5-9 p.m. Tuesday-Friday; 11:30 a.m.-9 p.m. Saturday and Sunday,510-250-9882,www.spinningdough.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spinster Sisters,American,Santa Rosa,Takeout,No,401 South A St.,Santa Rosa,N/A,North Bay,9 a.m.-2 p.m. daily,707-528-7100,www.thespinstersisters.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Split Bread,American,Russian Hill (S.F.),Delivery & Takeout,No,2300 Polk St.,San Francisco,N/A,San Francisco,9 a.m.-9 p.m. daily,415-296-8009,www.spliteats.com/menu-russian-hill,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spoonfish Poke,"Seafood, Hawaiian",San Jose,Delivery & Takeout,No,111 Paseo de San Antonio,San Jose,N/A,South Bay,11 a.m.-8 p.m. daily,408-320-2607,www.spoonfishpoke.com/,Call with credit card for pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
SPQR,Italian,Lower Pacific Heights (S.F.),Takeout,No,1911 Fillmore St.,San Francisco,N/A,San Francisco,5:30-10 p.m. daily,415-771-7779,www.spqrsf.com/take-away,"Call starting at 4 p.m. for pasta, salad and focaccia for about $30.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Spread Deli & Bottles,Sandwiches,Campbell,Delivery & Takeout,No,193 E Campbell Ave.,Campbell,N/A,South Bay,11:30 a.m.-1:30 p.m. daily,408-340-5549,www.spreaddeli.com,Order online or text SPREAD to 33733.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Spruce,American,Presidio Heights (S.F.),Delivery & Takeout,No,3640 Sacramento St.,San Francisco,N/A,San Francisco,4-8 p.m. daily,415-931-5100,www.sprucesf.com,Nightly family meal menu available through DoorDash.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Square Pie Guys,Pizza,SoMa (S.F.),Delivery & Takeout,No,1077 Mission St.,San Francisco,N/A,San Francisco,11:30 a.m.-10 p.m. Monday-Saturday; 11:30 a.m.-9 p.m. Sunday,415-872-9290,www.squarepieguys.com/order-online,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Squat and Gobble Cafe,American,West Portal (S.F.),Delivery & Takeout,No,1 West Portal Ave.,San Francisco,N/A,San Francisco,8 a.m.-8 p.m. daily,415-665-9900,www.squatandgobble.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Squat and Gobble Cafe,American,Marina (S.F.),Delivery & Takeout,No,2263 Chestnut St.,San Francisco,N/A,San Francisco,8 a.m.-8 p.m. daily,415-441-2200,www.squatandgobble.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ssal,Korean,Russian Hill (S.F.),Delivery & Takeout,No,2226 Polk St.,San Francisco,N/A,San Francisco,5-9:30 p.m. Wednesday-Sunday,415-302-1624,www.ssalsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Starbelly,American,Castro (S.F.),Takeout,No,3583 16th St.,San Francisco,N/A,San Francisco,Noon-8 p.m. Tuesday-Sunday,415-252-7500,www.starbellysf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Starbird,Chicken,Foster City,Delivery & Takeout,No,1141 Triton Dr.,Foster City,N/A,Peninsula,10:30 a.m.-10 p.m. daily,650-570-0593,www.starbirdchicken.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Starbird,Chicken,San Jose,Delivery & Takeout,No,1088 E Brokaw Rd.,San Jose,N/A,South Bay,10:30 a.m.-10 p.m. daily,408-451-9052,www.starbirdchicken.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Starbird,Chicken,Sunnyvale,Delivery & Takeout,No,1241 W El Camino Real,Sunnyvale,N/A,South Bay,10:30 a.m.-10 p.m. daily,650-988-6630,www.starbirdchicken.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Starbird,Chicken,SoMa (S.F.),Delivery & Takeout,No,60 Morris St.,San Francisco,N/A,San Francisco,"10:30 a.m.-2:30 p.m. Monday-Thursday; 10:30 a.m.-2:30 p.m., 4-10 p.m. Friday and Saturda;, 10:30 a.m.-10 p.m., 4 p.m.-10:30 p.m. Sunday",415-237-6537,www.starbirdchicken.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Starbread Bakery,Bakery,Pacifica,Delivery & Takeout,No,1261 Linda Mar Shopping Center,Pacifica,N/A,Peninsula,7 a.m.-7 p.m. daily,650-733-7750,www.starbreadca.com/locations.html,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Station House Cafe,American,Point Reyes,Delivery & Takeout,No,11180 Highway 1,Point Reyes Station,N/A,North Bay,11 a.m.-7 p.m. Friday-Sunday,415-663-1515,www.stationhousecafe.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Straits,Pan-Asian,San Jose,Takeout,No,333 Santana Row #1100,San Jose,N/A,South Bay,11 a.m.-8 p.m. daily,408-246-6320,www.straitsrestaurants.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Street Restaurant and Bar,American,Russian Hill (S.F.),Delivery & Takeout,Yes,2141 Polk St.,San Francisco,N/A,San Francisco,5-9 p.m. Tuesday-Sunday,415-775-1055,www.streetrestaurant.com,Order via website. Call when you arrive for curbside pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
StreetTaco,Mexican,Upper Haight (S.F.),Takeout,No,1607 Haight St.,San Francisco,N/A,San Francisco,11 a.m.-10 p.m. daily,415-525-4435,www.streettacosf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sun Kwong,Chinese,Nob Hill (S.F.),Takeout,No,1400 Jackson St.,San Francisco,N/A,San Francisco,11 a.m.-8:30 p.m. Monday-Saturday,415-673-9478,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sunflower Garden,Vietnamese,Inner Sunset (S.F.),Delivery & Takeout,No,1368 9th Ave.,San Francisco,N/A,San Francisco,10:30 a.m.-9 p.m. Wednesday-Monday; 4-9 p.m. Tuesday,415-571-8850,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sunflower Vietnamese Restaurant,Vietnamese,Potrero Hill (S.F.),Takeout,No,288 Connecticut St.,San Francisco,N/A,San Francisco,Noon-7 p.m. Monday-Saturday,415-861-2336,www.sunflowersf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sunrise Deli,Middle Eastern,Sunset (S.F.),Delivery & Takeout,Yes,2115 Irving St.,San Francisco,N/A,San Francisco,9 a.m.-7 p.m. daily,415-664-8210,www.sunrisedelisf.com,Free delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sunset Reservoir Brewing Company,American,Sunset (S.F.),Delivery & Takeout,No,1735 Noriega St.,San Francisco,N/A,San Francisco,4-8 p.m.,415-571-8452,www.sunsetbeersf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Super Duper Burger,American,Marina (S.F.),Takeout,No,2201 Chestnut St.,San Francisco,N/A,San Francisco,10:30 a.m.-8:30 p.m. daily,415-931-6258,www.superduperburgers.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Super Duper Burgers - Castro,American,Castro (S.F.),Takeout,No,2304 Market St.,San Francisco,N/A,San Francisco,12-8 p.m. Monday-Sunday,415-558-8123,www.superduperburgers.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sushi Confidential,Japanese,Campbell,Takeout,No,247 East Campbell Ave.,Campbell,N/A,South Bay,11:30 a.m.-9 p.m. daily,408-596-5554,www.sushiconfidential.com/,Call the restaurant and press 2 for takeout orders.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sushi Kazu,Japanese,Inner Sunset (S.F.),Takeout,No,841 Irving St.,San Francisco,N/A,San Francisco,5-10 p.m. daily,415-681-5539,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sushi Mambo,Japanese,Calistoga,Takeout,No,1631 Lincoln Ave.,Calistoga,N/A,North Bay,11:30 a.m.-9 p.m. Monday-Thursday; 11:30 a.m.-9:30 p.m. Friday; 12-9:30 p.m Saturday; 12-9 p.m. Sunday,707-942-4699,www.napasushi.com,Call or text order. Text: 707-339-9905,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sushi Nagai,Japanese,Tenderloin (S.F.),Takeout,No,125 Ellis St.,San Francisco,N/A,San Francisco,Noon-8 p.m. Tuesday-Sunday,415-527-8219,www.facebook.com/SushiNagaiSF/,Special menu available. Text from 11 a.m.-7 p.m. or email at sushinagaiSF@gmail.com to order for pick-up same day.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sushi Taka,Japanese,Financial District (S.F.),Delivery & Takeout,Yes,600 Kearny St.,San Francisco,N/A,San Francisco,10:30 a.m.-2:30 p.m. Monday-Friday; 11 a.m.-3 p.m. Saturday and Sunday,415-548-3417,www.sushitakaus.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sushi Yoshizumi,Japanese,San Mateo,Takeout,No,325 East 4th Ave.,San Mateo,N/A,Peninsula,"Noon-1 p.m., 5-7 p.m. Tuesday-Saturday; Noon-2 p.m. Sunday",650-437-2282,www.sushiyoshizumi.com,Pre-order by phone one day in advance. Taking orders 11 a.m.-noon daily.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sushirrito,Japanese,Union Square (S.F.),Delivery & Takeout,No,226 Kearny St.,San Francisco,N/A,San Francisco,10 a.m.-7 p.m. Monday-Friday; 11 a.m.-7 p.m. Saturday; 11 a.m.-2:30 p.m. Sunday,415-544-9868,www.sushirrito.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Swad Indian Cuisine,Indian,Lafayette,Takeout,No,960 Moraga Rd.,Lafayette,N/A,East Bay,"11:30 a.m.-2:30 p.m., 5-10 p.m. daily",925-962-9575,www.swadindiancuisine.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Swan Oyster Depot,Seafood,Nob Hill (S.F.),Delivery & Takeout,No,1517 Polk St.,San Francisco,N/A,San Francisco,8 a.m.-2:30 p.m. Monday-Saturday,415-673-1101,N/A,Limited delivery range and no minimum; call for details.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sweet Bar Bakery,Bakery,Oakland,Delivery & Takeout,No,2355 Broadway,Oakland,N/A,East Bay,7 a.m.-3 p.m. Monday-Friday; 8 a.m.-3 p.m. Saturday and Sunday,510-788-4997,www.sweetbarbakery.com/,Call ahead for faster pickup.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sweet Lime Thai Cuisine,Thai,Western Addition (S.F.),Delivery & Takeout,No,2100 Sutter St.,San Francisco,N/A,San Francisco,5-9 p.m. daily,415-674-7515,www.sweetlimethaicuisine.com/,Please call or stop by for takeout orders.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Sweetheart Cafe & Tea,"Taiwanese, Bubble Tea",Oakland,Delivery & Takeout,Yes,315 9th St.,Oakland,N/A,East Bay,11 a.m.-1 a.m. Monday-Saturday; noon-1 a.m. Sunday,510-835-8136,www.sweetheart-tea.weebly.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tacko,Mexican,Cow Hollow (S.F.),Delivery & Takeout,No,3115 Fillmore St.,San Francisco,N/A,San Francisco,11:30 a.m.-9 p.m. daily,415-796-3534,www.tackosf.com,Order on website.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Taco shop at Underdogs,Mexican,Outer Sunset (S.F.),Delivery & Takeout,No,1824 Irving St.,San Francisco,N/A,San Francisco,11:30 a.m.-9 p.m. daily,415-566-8700,www.tacoshopsf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tacobar,Mexican,Lower Pacific Heights (S.F.),Delivery & Takeout,No,2401 California St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-674-7769,www.415tacobar.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tacos El Gordo,Mexican,San Leandro,Takeout,No,15420 Hesperian Blvd.,San Leandro,N/A,East Bay,10 a.m.-10 p.m. Sunday-Thursday; 10 a.m.-11 p.m. Saturday,510-278-1718,www.elgordobayarea.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tacos el Patron,Mexican,Pleasant Hill,Delivery & Takeout,No,2290 Monument Blvd.,Pleasant Hill,N/A,East Bay,10 a.m.-8 p.m. daily,925-822-3993,www.instagram.com/tacos.elpatron/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tacos el Patron,Mexican,Mission (S.F.),Delivery & Takeout,No,1500 South Van Ness Ave. #100,San Francisco,N/A,San Francisco,10 a.m.-8 p.m. daily,415-829-7315,www.instagram.com/tacos.elpatron/,Free delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tad's Steakhouse,American,Tenderloin (S.F),Takeout,No,38 Ellis St.,San Francisco,N/A,San Francisco,9 a.m.-6 p.m. Monday-Saturday,415-956-2139,www.tadssf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tai Chi,Chinese,Russian Hill (S.F.),Takeout,No,2031 Polk St.,San Francisco,N/A,San Francisco,"Noon-3 p.m., 4:30-10 p.m. daily",415-441-6758,www.taichisanfran.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Takoyaki Yamachan,Japanese,Japantown (S.F.),Takeout,No,"Japan Center West Mall 1737 Post St., Ste. 395",San Francisco,N/A,San Francisco,Noon-4 p.m. daily,N/A,www.takoyakiyamachan.com/,For curbside or takeout email TAISUKEY46@GMAIL.COM,https://projects.sfchronicle.com/2020/restaurant-delivery/
Talk of Broadway,American,Redwood City,Delivery & Takeout,No,2096 Broadway,Redwood City,N/A,Peninsula,6 a.m.-3 p.m. Monday-Saturday; 6:30 a.m.-3 p.m. Sunday,650-368-3295,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
TAP'T Beer and Kitchen,American,Sunnyvale,Delivery & Takeout,No,259 W Washington Ave.,Sunnyvale,N/A,South Bay,7 a.m.-8:30 p.m. daily,408-617-8278,www.justgottapt.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tapas Tokki,Korean,Santa Clara,Takeout,Yes,"1998 Homestead Rd., #113",Santa Clara,N/A,South Bay,4-8 p.m. Monday-Saturday,408-216-9805,www.tapastokki.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Taqueria Azteca,Mexican,Dublin,Delivery & Takeout,Yes,7155 Amador Plaza Rd.,Dublin,N/A,East Bay,8 a.m.-9 p.m. Monday-Saturday; 8 a.m.-8 p.m. Sunday,925-833-0888,www.taqueriaazteca.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Taqueria Cassave,"Mexican, Tacos",Emeryville,Takeout,No,5412 San Pablo Ave.,Emeryville,N/A,East Bay,Lunch and dinner Monday-Saturday,510-601-1635,www.cassaveca.site/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Taqueria Los Amigos,Mexican,Outer Mission (S.F.),Takeout,No,5300 Mission St.,San Francisco,N/A,San Francisco,10 a.m.-11 p.m. Tuesday-Saturday; 10 a.m.-10:30 p.m. Sunday-Monday,415-585-8243,www.taquerialosamigossf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Taqueria Zorro,Mexican,North Beach (S.F.),Delivery & Takeout,No,308 Columbus Ave.,San Francisco,N/A,San Francisco,11:30 a.m.-10 p.m. daily,415-392-9677,www.taqueriazorro.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Taro San Japanese Noodle Bar,Japanese,Palo Alto,Delivery & Takeout,Yes,717 Stanford Shopping Center,Palo Alto,N/A,Peninsula,11 a.m.-8 p.m. Monday-Sunday,650-815-2700,www.tarosanudon.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tartine Bakery,Bakery,Mission (S.F.),Takeout,No,600 Guerrero St.,San Francisco,N/A,San Francisco,All day,415-487-2600,www.tartinebakery.com,Call or email info@tartinebakery.com to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tashi Delek,"Tibetan, Nepali, Indian",El Cerrito,Delivery & Takeout,No,11224 San Pablo Ave.,El Cerrito,N/A,East Bay,"11 a.m.-3 p.m., 5-9:30 p.m. daily",510-232-9316,www.tashidelekcuisine.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tastebuds,American,Richmond (S.F.),Delivery & Takeout,No,600 5th Ave.,San Francisco,N/A,San Francisco,9 a.m.-6 p.m. Monday-Saturday; 9 a.m.-3 p.m. Sunday,415-668-9298,www.sftastebuds.com,Delivery Monday-Friday.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tastier Panburger,Chinese,Cupertino,Takeout,No,20956 Homestead Rd.,Cupertino,N/A,Peninsula,Noon-9 p.m. Tuesday-Sunday,408-520-4800,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
TC Pastry,"Chinese, Dim Sum",Sunset (S.F.),Takeout,No,2222 Irving St.,San Francisco,N/A,San Francisco,7:30 a.m.-7 p.m. Wednesday-Monday,415-753-1133,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Teleferic Barcelona,Spanish,Palo Alto,Delivery & Takeout,No,855 El Camino Real #130,Palo Alto,N/A,Peninsula,Lunch and dinner daily,650-321-0712,www.telefericbarcelona.com,Order paella to-go.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Teleferic Barcelona,Spanish,Walnut Creek,Delivery & Takeout,No,1500 Mt. Diablo Blvd.,Walnut Creek,N/A,East Bay,11:30 a.m.-9:15 p.m. Sunday-Wednesday; 11:30 a.m.-10:15 p.m. Thursday-Saturday,925-300-3826,www.telefericbarcelona.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Tender Green,Vegetarian,SoMa (S.F),Delivery & Takeout,Yes,266 King St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-230-4131,www.tendergreens.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Teni East Kitchen,Burmese,Oakland,Delivery & Takeout,No,4015 Broadway,Oakland,N/A,East Bay,Lunch and dinner daily,510-597-1860,www.tenieastkitchen.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Terence Patterson,Italian,Pacific Heights (S.F.),Takeout,Yes,2244 Fillmore St.,San Francisco,N/A,San Francisco,2-9 p.m. daily,415-345-9211,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Teske’s Germania Restaurant,German,San Jose,Delivery & Takeout,No,255 N. 1st St.,San Jose,N/A,South Bay,4-9 p.m. Tuesday-Saturday,408-292-0291,www.teskes-germania.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thai Corner,Thai,Berkeley,Takeout,No,1277 Gilman St.,Berkeley,N/A,East Bay,"11 a.m.-3 p.m., 5-9 p.m. daily",510-647-9300,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thai House Express,Thai,Castro (S.F.),Takeout,No,599 Castro St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-864-5000,www.thaihousesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thai Spice,Thai,San Jose,Takeout,No,1102 Bird Ave.  #10,San Jose,N/A,South Bay,4-9:45 p.m. daily,408-277-7500,www.box5198.temp.domains/~integuo8/thaispice/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thai Table,Thai,Berkeley,Takeout,No,913 University Ave.,Berkeley,N/A,East Bay,4:30-9:30 p.m. daily,510-705-1083,www.thaitableberkeley.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thai Tamarind,Thai,Belmont,Takeout,No,1316 El Camino Real,Belmont,N/A,Peninsula,"11 a.m.-2 p.m., 5-9 p.m. Monday-Saturday",650-591-9888,www.thaitamarindrestaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thai Taste Kitchen,Thai,Piedmont (Oak),Takeout,No,3814 Piedmont Ave.,Oakland,N/A,East Bay,11 a.m.-9 p.m. daily,510-350-7542,www.thaitastekitchen.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Thanh Thanh,Vietnamese,Richmond (S.F.),Takeout,No,2205 Clement St.,San Francisco,N/A,San Francisco,8 a.m.-7 p.m. Tuesday-Friday; 9 a.m.-7 p.m. Saturday and Sunday,415-752-7671,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The American Grilled Cheese Kitchen,"American, Sandwiches",South Park,Delivery & Takeout,No,1 South Park,San Francisco,N/A,San Francisco,8 a.m.-5 p.m. daily,760-815-3474,www.tagck.com/,"Order via tagck.com for pick-up, Caviar, Postmates or GrubHub for delivery",https://projects.sfchronicle.com/2020/restaurant-delivery/
The Argentum Project,Greek,SoMa (S.F),Delivery & Takeout,No,47 6th St.,San Francisco,N/A,San Francisco,11 a.m.-5 p.m. Monday-Friday,415-944-1117,www.grubhub.com/restaurant/the-argentum-project-47-6th-st-san-francisco/1048383,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Battery,American,Jackson Square (S.F.),Delivery & Takeout,Yes,717 Battery St.,San Francisco,N/A,San Francisco,8 a.m.-8 p.m. daily,415-230-8000,www.thebatterysf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Bell Tower,American,Nob Hill (S.F.),Takeout,No,1900 Polk St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-567-9596,http://places.singleplatform.com/the-bell-tower/menu,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Berkeley Boathouse,Californian,Berkeley,Takeout,No,200 Marina Blvd.,Berkeley,N/A,East Bay,6 a.m.-11 p.m. daily,510-665-7171,www.berkeleyboathouse.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Bird,Fried Chicken,SoMa (S.F.),Delivery,No,115 New Montgomery St.,San Francisco,N/A,San Francisco,10:30 a.m.-6 p.m. Monday-Friday,415-872-9825,www.thebirdsf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Brazen Head Restaurant,American,Cow Hollow (S.F.),Delivery & Takeout,No,3166 Buchanan St.,San Francisco,N/A,San Francisco,5-10 p.m. daily,415-921-7600,www.brazenheadsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Butcher's Son,Vegan,Berkeley,Takeout,No,1954 University Ave.,Berkeley,N/A,East Bay,"Lunch daily; dinner Monday, Thursday-Friday",510-984-0818,www.thebutchersveganson.com/online-ordering,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Cheesecake Factory,American,San Mateo,Delivery & Takeout,No,Hillsdale Shopping Center,San Mateo,N/A,Peninsula,Lunch and dinner daily,650-638-0310,www.cheesecakefactory.com,Call ahead for pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Cook And Her Farmer,Sandwiches,Oakland,Delivery & Takeout,No,510 9th St.,Oakland,N/A,Oakland,11 a.m.-6 p.m. Monday-Saturday,510-798-1895,www.thecookandherfarmer.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Cove on Castro,American,Castro (S.F.),Delivery & Takeout,Yes,434 Castro St.,San Francisco,N/A,San Francisco,8 a.m.-9 p.m. Monday-Sunday,415-626-0462,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
The Damel,"African, Brazilian",Oakland,Delivery & Takeout,No,2507 Broadway,Oakland,N/A,East Bay,5-10 p.m. Tuesday-Sunday,510-409-5601,www.thedamel.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
